name,website,short_description,description,category,pricing,logo,tags
"Notion AI","https://www.notion.so/product/ai","AI-powered workspace assistant","Notion AI helps you write better, think bigger, and augment your creativity. Access AI directly in your Notion workspace.","Productivity","Paid","📓","productivity,writing,notes,workspace"
"Otter.ai","https://otter.ai","AI meeting assistant and transcription","Otter records meetings, takes notes in real-time, and generates summaries. Perfect for remote teams and interviews.","Productivity","Freemium","🦦","transcription,meetings,notes,voice"
"Descript","https://www.descript.com","All-in-one audio and video editor","Edit audio and video by editing text. Descript transcribes your media and lets you edit like a document.","Video","Freemium","🎙️","video,audio,editing,transcription"
"Replicate","https://replicate.com","Run AI models in the cloud","Run and deploy machine learning models with a simple API. No need to understand ML infrastructure.","Development","Freemium","🔄","ml,api,cloud,developers"
"Hugging Face","https://huggingface.co","The AI community platform","Build, train and deploy state-of-the-art models. Access thousands of pre-trained models and datasets.","Development","Free","🤗","ml,models,community,open-source"
"Synthesia","https://www.synthesia.io","AI video generation platform","Create professional videos with AI avatars. No cameras, microphones or actors needed.","Video","Paid","🎬","video,avatars,ai-generation,business"
"Beautiful.ai","https://www.beautiful.ai","AI-powered presentation maker","Create beautiful presentations in minutes. AI handles the design while you focus on content.","Design","Freemium","🎨","presentations,design,business,slides"
"Fireflies.ai","https://fireflies.ai","AI meeting recorder","Automatically record, transcribe and search across your voice conversations.","Productivity","Freemium","🔥","meetings,transcription,productivity,voice"
"Mem","https://get.mem.ai","Self-organizing workspace","AI-powered note-taking that automatically organizes your thoughts and surfaces relevant information.","Productivity","Freemium","🧠","notes,knowledge,ai-organization,productivity"
"Wordtune","https://www.wordtune.com","AI writing companion","Rewrite and rephrase your sentences to say exactly what you mean. Improve clarity and tone.","Writing","Freemium","✏️","writing,rewriting,grammar,productivity"
