name,website,short_description,description,category,pricing,logo,tags
"ChatGPT","https://chat.openai.com","AI chatbot for answering questions and helping with assignments","ChatGPT is an AI assistant that can help students with research, writing, coding, and problem-solving. It provides detailed explanations and can assist with homework across subjects.","Chatbots","Freemium","🤖","chatbot,ai,homework,research,writing"
"Grammarly","https://www.grammarly.com","AI writing assistant that checks grammar and improves essay clarity","Grammarly helps students write better essays and papers by checking grammar, spelling, punctuation, and style. It offers real-time suggestions to improve clarity and tone.","Writing","Freemium","✍️","writing,grammar,essays,students,editing"
"Quizlet","https://quizlet.com","Study tool with flashcards and practice tests","Quizlet helps students memorize information through flashcards, practice tests, and study games. Perfect for exam prep and learning new concepts across any subject.","Study","Freemium","📚","study,flashcards,memorization,exams,learning"
"Notion","https://www.notion.so","All-in-one workspace for notes, tasks, and project management","Notion combines note-taking, task management, and databases in one place. Students use it to organize class notes, track assignments, and manage group projects.","Productivity","Freemium","📓","productivity,notes,organization,students,tasks"
"GitHub Copilot","https://github.com/features/copilot","AI coding assistant that suggests code as you type","GitHub Copilot helps students write code faster by suggesting completions and entire functions. It supports multiple programming languages and learns from context.","Coding","Paid","💻","coding,programming,ai,students,development"
"Canva","https://www.canva.com","Easy graphic design tool for presentations and posters","Canva makes it simple to create professional presentations, posters, and graphics. Students can use templates for school projects and assignments without design experience.","Design","Freemium","🎨","design,presentations,graphics,students,templates"
"Otter.ai","https://otter.ai","AI transcription tool for lectures and meetings","Otter.ai automatically transcribes lectures and meetings in real-time. Students can review transcripts, search for keywords, and share notes with classmates.","Audio","Freemium","🦦","transcription,lectures,notes,audio,students"
"Wolfram Alpha","https://www.wolframalpha.com","Computational knowledge engine for math and science","Wolfram Alpha solves complex math problems and provides step-by-step solutions. Essential for STEM students working on calculus, physics, and chemistry.","Study","Freemium","🔢","math,science,calculations,homework,stem"
"Zotero","https://www.zotero.org","Free reference manager for research papers","Zotero helps students collect, organize, and cite research sources. It automatically generates bibliographies in any citation style for papers and theses.","Research","Free","📖","research,citations,bibliography,papers,academic"
"Hemingway Editor","https://hemingwayapp.com","Writing tool that makes your text clear and concise","Hemingway Editor highlights complex sentences and suggests simpler alternatives. Helps students write clearer essays and reports by improving readability.","Writing","Freemium","✏️","writing,editing,clarity,essays,students"
"Anki","https://apps.ankiweb.net","Spaced repetition flashcard app for long-term memorization","Anki uses spaced repetition to help students memorize information efficiently. Popular for language learning, medical school, and exam preparation.","Study","Free","🧠","flashcards,memorization,study,spaced-repetition,free"
"Overleaf","https://www.overleaf.com","Online LaTeX editor for academic papers","Overleaf is a collaborative LaTeX editor perfect for writing research papers, theses, and technical documents. Real-time collaboration makes group projects easier.","Writing","Freemium","📄","latex,academic,papers,collaboration,research"
"Replit","https://replit.com","Online code editor and IDE for learning programming","Replit lets students write and run code in the browser without setup. Supports 50+ languages and includes collaboration features for coding assignments.","Coding","Freemium","⚡","coding,programming,ide,students,collaboration"
"Figma","https://www.figma.com","Collaborative design tool for UI/UX projects","Figma is a web-based design tool for creating interfaces, prototypes, and graphics. Students can collaborate in real-time on design projects.","Design","Freemium","🎯","design,ui-ux,prototyping,collaboration,students"
"Todoist","https://todoist.com","Task manager for organizing assignments and deadlines","Todoist helps students track assignments, set deadlines, and prioritize tasks. Simple interface makes it easy to stay organized throughout the semester.","Productivity","Freemium","✅","tasks,productivity,organization,deadlines,students"
"Google Scholar","https://scholar.google.com","Search engine for academic papers and research","Google Scholar helps students find peer-reviewed papers, theses, and academic articles. Essential for literature reviews and research projects.","Research","Free","🔍","research,papers,academic,search,free"
"Desmos","https://www.desmos.com","Free graphing calculator for math students","Desmos is an advanced graphing calculator that works in the browser. Perfect for visualizing functions, plotting data, and exploring mathematical concepts.","Study","Free","📊","math,graphing,calculator,visualization,free"
"Duolingo","https://www.duolingo.com","Free language learning app with gamification","Duolingo makes language learning fun through bite-sized lessons and games. Students can learn Spanish, French, German, and 30+ other languages.","Study","Freemium","🦜","language,learning,education,gamification,free"
"Mendeley","https://www.mendeley.com","Reference manager and academic social network","Mendeley helps students organize research papers, generate citations, and discover new research. Includes PDF annotation and cloud sync.","Research","Free","📚","research,citations,papers,academic,organization"
"Trello","https://trello.com","Visual project management with boards and cards","Trello uses boards and cards to organize projects and tasks. Students use it for group projects, assignment tracking, and personal organization.","Productivity","Freemium","📋","productivity,organization,projects,collaboration,tasks"
"Quillbot","https://quillbot.com","AI paraphrasing tool for rewriting text","QuillBot helps students rephrase sentences and paragraphs while maintaining meaning. Useful for avoiding plagiarism and improving writing variety.","Writing","Freemium","🪶","writing,paraphrasing,rewriting,students,ai"
